,userId,movieId,rating,timestamp,title,genres,description,cast
0,1,1,4.0,964982703,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room.,"['Tom Hanks', 'Tim Allen', 'Don Rickles', 'Jim Varney', 'Wallace Shawn', 'John Ratzenberger', 'Annie Potts', 'John Morris', 'Erik von Detten', 'Laurie Metcalf', 'R. Lee Ermey', 'Sarah Rayne', 'Penn Jillette', 'Jack Angel', 'Spencer Aste', 'Greg Berg', 'Lisa Bradley', 'Kendall Cunningham']"
1,1,3,4.0,964981247,Grumpier Old Men (1995),Comedy|Romance,"John and Max resolve to save their beloved bait shop from turning into an Italian restaurant, just as its new female owner catches Max's attention.","['Walter Matthau', 'Jack Lemmon', 'Ann-Margret', 'Sophia Loren', 'Burgess Meredith', 'Daryl Hannah', 'Kevin Pollak', 'Katie Sagona', 'Ann Morgan Guilbert', 'James Andelin', 'Marcus Klemp', 'Max Wright', 'Cheryl Hawker', 'Wayne A. Evenson', 'Allison Levine', 'John Patrick Martin', 'Adam Ward', 'Ryan Waldoch']"
2,1,6,4.0,964982224,Heat (1995),Action|Crime|Thriller,A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a clue at their latest heist.,"['Al Pacino', 'Robert De Niro', 'Val Kilmer', 'Jon Voight', 'Tom Sizemore', 'Diane Venora', 'Amy Brenneman', 'Ashley Judd', 'Mykelti Williamson', 'Wes Studi', 'Ted Levine', 'Dennis Haysbert', 'William Fichtner', 'Natalie Portman', 'Tom Noonan', 'Kevin Gage', 'Hank Azaria', 'Susan Traylor']"
4,1,50,5.0,964982931,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,"A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup.","['Kevin Spacey', 'Gabriel Byrne', 'Chazz Palminteri', 'Stephen Baldwin', 'Benicio Del Toro', 'Kevin Pollak', 'Pete Postlethwaite', 'Suzy Amis', 'Giancarlo Esposito', 'Dan Hedaya', 'Paul Bartel', 'Carl Bressler', 'Phillipe Simon', 'Jack Shearer', 'Christine Estabrook', 'Clark Gregg', 'Morgan Hunter', 'Ken Daly']"
5,1,70,3.0,964982400,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,"Two criminals and their hostages unknowingly seek temporary refuge in a truck stop populated by vampires, with chaotic results.","['Harvey Keitel', 'George Clooney', 'Juliette Lewis', 'Quentin Tarantino', 'Ernest Liu', 'Salma Hayek', 'Cheech Marin', 'Danny Trejo', 'Tom Savini', 'Fred Williamson', 'Michael Parks', 'Brenda Hillhouse', 'John Saxon', 'Marc Lawrence', 'Kelly Preston', 'John Hawkes', 'Tito Larriva', 'Peter Atanasoff']"
6,1,101,5.0,964980868,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance,Three friends plan to pull off a simple robbery and go on the run.,"['Luke Wilson', 'Owen Wilson', 'Ned Dowd', 'Shea Fowler', 'Haley Miller', 'Robert Musgrave', 'Andrew Wilson', 'Brian Tenenbaum', 'Jenni Tooley', 'Temple Nash', 'Dipak Pallana', 'Darryl Cox', 'Stephen Dignan', 'Lumi Cavazos', 'Julie Mayfield', 'Don Phillips Jr.', 'Anna Cifuentes', 'Donny Caicedo']"
7,1,110,4.0,964982176,Braveheart (1995),Action|Drama|War,Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.,"['Mel Gibson', 'Sophie Marceau', 'Patrick McGoohan', 'Angus Macfadyen', 'James Robinson', 'Sean Lawlor', 'Sandy Nelson', 'James Cosmo', 'Sean McGinley', 'Alan Tall', 'Andrew Weir', 'Gerda Stevenson', 'Ralph Riach', 'Mhairi Calvey', 'Brian Cox', 'Peter Hanly', 'Stephen Billington', 'Barry McGovern']"
8,1,151,5.0,964984041,Rob Roy (1995),Action|Drama|Romance|War,"In 1713 Scotland, Rob Roy MacGregor is wronged by a nobleman and his nephew, becomes an outlaw in search of revenge while fleeing the Redcoats, and faces charges of being a Jacobite.","['Liam Neeson', 'Jessica Lange', 'John Hurt', 'Tim Roth', 'Eric Stoltz', 'Andrew Keir', 'Brian Cox', 'Brian McCardie', 'Gilbert Martin', 'Vicki Masson', 'Gilly Gilchrist', 'Jason Flemyng', 'Ewan Stewart', 'David Hayman', 'Brian McArthur', 'David Brooks Palmer', 'Myra McFadyen', 'Karen Matheson']"
10,1,163,5.0,964983650,Desperado (1995),Action|Romance|Western,Former musician and gunslinger El Mariachi arrives at a small Mexican border town after being away for a long time. His past quickly catches up with him and he soon gets entangled with the local drug kingpin Bucho and his gang.,"['Antonio Banderas', 'Salma Hayek', 'Joaquim de Almeida', 'Cheech Marin', 'Steve Buscemi', 'Carlos Gómez', 'Quentin Tarantino', 'Tito Larriva', 'Angel Aviles', 'Danny Trejo', 'Abraham Verduzco', 'Carlos Gallardo', 'Albert Michel Jr.', 'David Alvarado', 'Angela Lanza', 'Mike Moroff', 'Robert Arevalo', 'Gerardo Moscoso']"
11,1,216,5.0,964981208,Billy Madison (1995),Comedy,"In order to inherit his fed up father's hotel empire, an immature and lazy man must repeat grades 1-12 all over again.","['Adam Sandler', 'Darren McGavin', 'Bridgette Wilson-Sampras', 'Bradley Whitford', 'Josh Mostel', 'Norm MacDonald', 'Mark Beltzman', 'Larry Hankin', 'Theresa Merritt', 'Dina Platias', 'Hrant Alianak', 'Vincent Marino', 'Jack Mather', 'Christopher Kelk', 'Marc Donato', 'Keith Cole', 'Chris Mei', 'Conor Devitt']"
12,1,223,3.0,964980985,Clerks (1994),Comedy,"A day in the lives of two convenience clerks named Dante and Randal as they annoy customers, discuss movies, and play hockey on the store roof.","['Brian OHalloran', 'Jeff Anderson', 'Marilyn Ghigliotti', 'Lisa Spoonauer', 'Jason Mewes', 'Kevin Smith', 'Scott Mosier', 'Scott Schiaffo', 'Al Berkowitz', 'Walter Flanagan', 'Ed Hapstak', 'Lee Bendick', 'David Klein', 'Pattijean Csik', 'Ken Clark', 'Donna Jeanne', 'Virginia Smith', 'Betsy Broussard']"
14,1,235,4.0,964980908,Ed Wood (1994),Comedy|Drama,"Ambitious but troubled movie director Edward D. Wood Jr. tries his best to fulfill his dreams, despite his lack of talent.","['Johnny Depp', 'Martin Landau', 'Sarah Jessica Parker', 'Patricia Arquette', 'Jeffrey Jones', 'G.D. Spradlin', 'Vincent DOnofrio', 'Bill Murray', 'Mike Starr', 'Max Casella', 'Brent Hinkley', 'Lisa Marie', 'George The Animal Steele', 'Juliet Landau', 'Clive Rosengren', 'Norman Alden', 'Leonard Termo', 'Ned Bellamy']"
16,1,296,3.0,964982967,Pulp Fiction (1994),Comedy|Crime|Drama|Thriller,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.","['John Travolta', 'Uma Thurman', 'Samuel L. Jackson', 'Bruce Willis', 'Tim Roth', 'Amanda Plummer', 'Laura Lovelace', 'Phil LaMarr', 'Frank Whaley', 'Burr Steers', 'Ving Rhames', 'Paul Calderon', 'Bronagh Gallagher', 'Rosanna Arquette', 'Eric Stoltz', 'Jerome Patrick Hoban', 'Michael Gilden', 'Gary Shorelle']"
17,1,316,3.0,964982310,Stargate (1994),Action|Adventure|Sci-Fi,"An interstellar teleportation device, found in Egypt, leads to a planet with humans resembling ancient Egyptians who worship the god Ra.","['Kurt Russell', 'James Spader', 'Jaye Davidson', 'Viveca Lindfors', 'Alexis Cruz', 'Mili Avital', 'Leon Rippy', 'John Diehl', 'Carlos Lauchu', 'Djimon Hounsou', 'Erick Avari', 'French Stewart', 'Gianin Loffler', 'Christopher John Fields', 'Derek Webster', 'Jack Moore', 'Steve Giannelli', 'David Pressman']"
18,1,333,5.0,964981179,Tommy Boy (1995),Comedy,"After his auto-parts tycoon father dies, the overweight, underachieving son teams up with a snide accountant to try and save the family business.","['Chris Farley', 'David Spade', 'Brian Dennehy', 'Bo Derek', 'Dan Aykroyd', 'Julie Warner', 'Sean McCann', 'Zach Grenier', 'James Blendick', 'Clinton Turnbull', 'Ryder Britton', 'Paul Greenberg', 'Graeme Millington', 'Michael Cram', 'Dean Marshall', 'Trent McMullen', 'Philip Williams', 'David Malloy']"
19,1,349,4.0,964982563,Clear and Present Danger (1994),Action|Crime|Drama|Thriller,CIA Analyst Jack Ryan is drawn into an illegal war fought by the US government against a Colombian drug cartel.,"['Harrison Ford', 'Willem Dafoe', 'Anne Archer', 'Joaquim de Almeida', 'Henry Czerny', 'Harris Yulin', 'Donald Moffat', 'Miguel Sandoval', 'Benjamin Bratt', 'Raymond Cruz', 'Dean Jones', 'Thora Birch', 'Ann Magnuson', 'Hope Lange', 'Tom Tammi', 'Tim Grimm', 'Belita Moreno', 'James Earl Jones']"
20,1,356,4.0,964980962,Forrest Gump (1994),Comedy|Drama|Romance|War,"The presidencies of Kennedy and Johnson, the Vietnam War, the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart.","['Tom Hanks', 'Robin Wright', 'Gary Sinise', 'Sally Field', 'Rebecca Williams', 'Michael Conner Humphreys', 'Harold G. Herthum', 'George Kelly', 'Bob Penny', 'John Randall', 'Sam Anderson', 'Margo Moorer', 'Ione M. Telech', 'Christine Seabrook', 'John Worsham', 'Peter Dobson', 'Siobhan Fallon Hogan', 'Alexander Zemeckis']"
21,1,362,5.0,964982588,"Jungle Book, The (1994)",Adventure|Children|Romance,"It looks like we don't have any Plot Summaries for this title yet.
Be the first to contribute! Just click the ""Edit page"" button at the bottom of the page or learn more in the Plot Summary submission guide.",['Eric Rodriguez']
22,1,367,4.0,964981710,"Mask, The (1994)",Action|Comedy|Crime|Fantasy,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.","['John Travolta', 'Uma Thurman', 'Samuel L. Jackson', 'Bruce Willis', 'Tim Roth', 'Amanda Plummer', 'Laura Lovelace', 'Phil LaMarr', 'Frank Whaley', 'Burr Steers', 'Ving Rhames', 'Paul Calderon', 'Bronagh Gallagher', 'Rosanna Arquette', 'Eric Stoltz', 'Jerome Patrick Hoban', 'Michael Gilden', 'Gary Shorelle']"
